e_field charge_filename light_filename charge_thresholds light_samples
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_12_35_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_123549.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_12_45_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_124553.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_12_55_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_125556.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_13_05_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_130559.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_13_16_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_131603.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_13_26_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_132606.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_13_36_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_133610.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_13_46_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_134613.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_13_56_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_135617.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_14_06_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_140620.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_14_16_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_141623.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_14_26_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_142627.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_14_36_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_143630.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_14_46_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_144634.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_14_56_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_145637.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_15_06_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_150641.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_15_16_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_151644.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_15_26_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_152647.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run2/packet/tpc12/tpc_12-packet-2023_02_22_15_36_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run2/LRS/cosmic/0cd913fa_20230222_153651.data medm 1024
