e_field charge_filename light_filename charge_thresholds light_samples
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_23_33_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_23_43_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_23_53_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_00_04_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_00_14_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_00_24_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_00_34_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_00_44_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_00_54_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_01_04_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_01_14_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_01_24_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_01_34_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_01_44_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_01_54_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_04_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_14_CET.h5 - medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_15_02_24_CET.h5 - medm 1024
