e_field charge_filename light_filename charge_thresholds light_samples
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_08_54_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_085423.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_09_04_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_090417.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_09_14_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_091420.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_09_24_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_092424.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_09_34_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_093427.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_09_44_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_094447.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_09_54_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_095434.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_10_04_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_100438.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_10_14_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_101441.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_10_24_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_102445.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_10_34_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_103448.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_10_44_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_104452.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_10_54_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_105455.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_11_04_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_110459.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_11_15_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_111502.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_11_25_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_112506.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_11_35_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_113509.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_11_45_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_114513.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_11_55_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_115516.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_12_05_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_120520.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_12_15_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_121523.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_12_25_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_122527.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_12_35_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_123530.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_12_45_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_124534.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_12_55_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_125537.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_13_05_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_130540.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_13_15_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_131544.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_13_25_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_132547.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_13_35_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_133551.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_13_45_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_134554.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_13_55_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_135558.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_17_46_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_174621.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_17_56_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_175624.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_18_06_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_180628.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_18_16_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_181631.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_18_26_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_182634.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_18_36_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_183638.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_18_46_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_184641.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_18_56_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_185644.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_19_06_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_190648.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_19_16_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_191651.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_19_26_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_192654.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_19_36_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_193658.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_19_46_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_194701.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_19_57_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_195705.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_20_07_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_200708.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_20_17_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_201711.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_20_57_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_205747.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_21_07_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_210750.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_21_17_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_211754.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_22_03_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_220321.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_22_13_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_221324.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_22_23_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_222328.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_22_33_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_223331.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_22_43_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_224335.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_22_53_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_225338.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_23_03_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_230342.data medm 1024
500.000 /global/cfs/cdirs/dune/www/data/Module3/run3/packet/tpc12/tpc12-packet-2023_03_14_23_23_CET.h5 /global/cfs/cdirs/dune/www/data/Module3/run3/LRS/cosmic/0cd913fa_20230314_231346.data medm 1024
